[2026-03-28T10:28:04.403Z] GET https://crates.io/crates/jsonschema → pending (?ms, ?B)
[2026-03-28T10:28:06.405Z] GET https://crates.io/assets/cargo.png → 200 (172ms, ?B)
[2026-03-28T10:28:06.405Z] GET https://crates.io/api/v1/crates/jsonschema/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:28:06.405Z] GET https://crates.io/api/v1/crates/jsonschema/owner_team → 200 (153ms, 12B)
[2026-03-28T10:28:06.509Z] GET https://static.crates.io/readmes/jsonschema/jsonschema-0.45.0.html → 200 (112ms, 10196B)
[2026-03-28T10:28:06.559Z] GET https://avatars.githubusercontent.com/u/1236561?v=4&s=64 → 200 (61ms, 1885B)
[2026-03-28T10:28:06.628Z] GET https://img.shields.io/crates/v/jsonschema.svg?style=flat-square&color=fc8d62&logo=rust → pending (?ms, ?B)
[2026-03-28T10:28:06.628Z] GET https://img.shields.io/badge/docs.rs-jsonschema-66c2a5?style=flat-square&labelColor=555555&logo=docs.rs → pending (?ms, ?B)
[2026-03-28T10:28:06.628Z] GET https://img.shields.io/github/actions/workflow/status/Stranger6667/jsonschema/ci.yml?branch=master&style=flat-square → pending (?ms, ?B)
[2026-03-28T10:28:06.628Z] GET https://img.shields.io/codecov/c/gh/Stranger6667/jsonschema?logo=codecov&style=flat-square&token=B1EnafGlRL → pending (?ms, ?B)
[2026-03-28T10:28:06.628Z] GET https://img.shields.io/endpoint?url=https%3A%2F%2Fbowtie.report%2Fbadges%2Frust-jsonschema%2Fsupported_versions.json&style=flat-square → pending (?ms, ?B)
[2026-03-28T10:28:06.628Z] GET https://img.shields.io/endpoint?url=https%3A%2F%2Fbowtie.report%2Fbadges%2Frust-jsonschema%2Fcompliance%2Fdraft2020-12.json → pending (?ms, ?B)
[2026-03-28T10:28:06.628Z] GET https://img.shields.io/endpoint?url=https%3A%2F%2Fbowtie.report%2Fbadges%2Frust-jsonschema%2Fcompliance%2Fdraft2019-09.json → pending (?ms, ?B)
[2026-03-28T10:28:06.628Z] GET https://img.shields.io/endpoint?url=https%3A%2F%2Fbowtie.report%2Fbadges%2Frust-jsonschema%2Fcompliance%2Fdraft7.json → pending (?ms, ?B)
[2026-03-28T10:28:06.629Z] GET https://img.shields.io/endpoint?url=https%3A%2F%2Fbowtie.report%2Fbadges%2Frust-jsonschema%2Fcompliance%2Fdraft6.json → pending (?ms, ?B)
[2026-03-28T10:28:06.629Z] GET https://img.shields.io/endpoint?url=https%3A%2F%2Fbowtie.report%2Fbadges%2Frust-jsonschema%2Fcompliance%2Fdraft4.json → pending (?ms, ?B)
[2026-03-28T10:28:06.635Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → pending (?ms, ?B)
[2026-03-28T10:28:06.816Z] GET https://crates.io/api/v1/site_metadata → 200 (149ms, 151B)
[2026-03-28T10:28:15.973Z] GET https://crates.io/crates/valico → 200 (149ms, 3465B)
[2026-03-28T10:28:16.126Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:28:16.126Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (1ms, 7379B)
[2026-03-28T10:28:16.127Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:28:16.127Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:28:16.127Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (1ms, 1474292B)
[2026-03-28T10:28:16.128Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:28:16.140Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (2ms, ?B)
[2026-03-28T10:28:16.142Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:28:16.142Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:28:16.142Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:28:16.142Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:28:16.176Z] GET https://crates.io/api/v1/crates/valico?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (149ms, 2693B)
[2026-03-28T10:28:16.350Z] GET https://crates.io/api/v1/crates/valico/owner_user → 200 (129ms, 185B)
[2026-03-28T10:28:16.350Z] GET https://crates.io/assets/cargo.png → 200 (?ms, 60046B)
[2026-03-28T10:28:16.350Z] GET https://crates.io/api/v1/crates/valico/4.0.0/readme → 302 (137ms, ?B)
[2026-03-28T10:28:16.350Z] GET https://docs.rs/crate/valico/4.0.0/status.json → 200 (166ms, 37B)
[2026-03-28T10:28:16.350Z] GET https://play.rust-lang.org/meta/crates → 200 (1ms, 27416B)
[2026-03-28T10:28:16.350Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, 199897B)
[2026-03-28T10:28:16.350Z] GET https://crates.io/api/v1/crates/valico/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:28:16.350Z] GET https://crates.io/api/v1/crates/valico/owner_team → 200 (144ms, 12B)
[2026-03-28T10:28:16.487Z] GET https://static.crates.io/readmes/valico/valico-4.0.0.html → 200 (25ms, 16741B)
[2026-03-28T10:28:16.496Z] GET https://avatars.githubusercontent.com/u/198327?v=4&s=64 → 200 (19ms, 1894B)
[2026-03-28T10:28:16.525Z] GET https://travis-ci.org/rustless/valico.svg?branch=master → 301 (89ms, ?B)
[2026-03-28T10:28:16.614Z] GET https://app.travis-ci.com/rustless/valico.svg?branch=master → pending (?ms, ?B)
[2026-03-28T10:28:16.993Z] GET https://api.travis-ci.com/rustless/valico.svg?branch=master → 200 (392ms, 730B)
[2026-03-28T10:28:17.176Z] GET https://crates.io/api/v1/site_metadata → 200 (149ms, 151B)
[2026-03-28T10:28:43.196Z] GET https://crates.io/crates/json-patch → 200 (156ms, 3469B)
[2026-03-28T10:28:43.358Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:28:43.359Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:28:43.359Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:28:43.359Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:28:43.359Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (1ms, 1474292B)
[2026-03-28T10:28:43.360Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:28:43.364Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:28:43.365Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:28:43.365Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:28:43.365Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:28:43.365Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:28:43.400Z] GET https://crates.io/api/v1/crates/json-patch?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (152ms, 2707B)
[2026-03-28T10:28:43.578Z] GET https://crates.io/api/v1/crates/json-patch/owner_user → pending (?ms, ?B)
[2026-03-28T10:28:43.578Z] GET https://crates.io/assets/cargo.png → 200 (?ms, 60046B)
[2026-03-28T10:28:43.579Z] GET https://crates.io/api/v1/crates/json-patch/4.1.0/readme → pending (?ms, ?B)
[2026-03-28T10:28:43.579Z] GET https://docs.rs/crate/json-patch/4.1.0/status.json → pending (?ms, ?B)
[2026-03-28T10:28:43.579Z] GET https://play.rust-lang.org/meta/crates → pending (?ms, ?B)
[2026-03-28T10:28:43.579Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, 199897B)
[2026-03-28T10:28:43.579Z] GET https://crates.io/api/v1/crates/json-patch/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:28:43.579Z] GET https://crates.io/api/v1/crates/json-patch/owner_team → pending (?ms, ?B)
[2026-03-28T10:28:43.720Z] GET https://static.crates.io/readmes/json-patch/json-patch-4.1.0.html → 200 (516ms, 3783B)
[2026-03-28T10:28:43.733Z] GET https://avatars.githubusercontent.com/u/434788?v=4&s=64 → 200 (21ms, 1572B)
[2026-03-28T10:28:44.245Z] GET https://img.shields.io/crates/v/json-patch.svg → 200 (192ms, 1110B)
[2026-03-28T10:28:44.245Z] GET https://img.shields.io/crates/d/json-patch.svg → 200 (136ms, 1095B)
[2026-03-28T10:28:44.246Z] GET https://github.com/idubrov/json-patch/actions/workflows/main.yml/badge.svg → 200 (282ms, 2271B)
[2026-03-28T10:28:44.246Z] GET https://codecov.io/gh/idubrov/json-patch/branch/main/graph/badge.svg?token=hdcr6yfBfa → 200 (213ms, 2274B)
[2026-03-28T10:28:44.248Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (25ms, 88248B)
[2026-03-28T10:28:44.400Z] GET https://crates.io/api/v1/site_metadata → 200 (159ms, 151B)
[2026-03-28T10:28:46.541Z] GET https://codecov.io/gh/idubrov/json-patch/branch/main/graph/badge.svg?token=hdcr6yfBfa → 200 (146ms, 2274B)
[2026-03-28T10:28:50.407Z] GET https://codecov.io/gh/idubrov/json-patch/branch/main/graph/badge.svg?token=hdcr6yfBfa → 200 (131ms, 2274B)
[2026-03-28T10:28:54.366Z] GET https://crates.io/crates/boon → 200 (160ms, 3463B)
[2026-03-28T10:28:54.530Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (1ms, ?B)
[2026-03-28T10:28:54.531Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:28:54.531Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:28:54.531Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (1ms, 4670B)
[2026-03-28T10:28:54.532Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:28:54.532Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:28:54.537Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (1ms, ?B)
[2026-03-28T10:28:54.538Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:28:54.538Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:28:54.538Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:28:54.538Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:28:54.539Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:28:54.571Z] GET https://crates.io/api/v1/crates/boon?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → pending (?ms, ?B)
[2026-03-28T10:28:54.759Z] GET https://crates.io/api/v1/crates/boon/owner_user → 200 (133ms, 202B)
[2026-03-28T10:28:54.759Z] GET https://crates.io/assets/cargo.png → 200 (?ms, 60046B)
[2026-03-28T10:28:54.760Z] GET https://crates.io/api/v1/crates/boon/0.6.1/readme → 302 (132ms, ?B)
[2026-03-28T10:28:54.760Z] GET https://docs.rs/crate/boon/0.6.1/status.json → 200 (163ms, 37B)
[2026-03-28T10:28:54.760Z] GET https://play.rust-lang.org/meta/crates → 200 (1ms, 27416B)
[2026-03-28T10:28:54.760Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, 199897B)
[2026-03-28T10:28:54.760Z] GET https://crates.io/api/v1/crates/boon/downloads?include=versions → 200 (303ms, 27725B)
[2026-03-28T10:28:54.760Z] GET https://crates.io/api/v1/crates/boon/owner_team → 200 (149ms, 12B)
[2026-03-28T10:28:54.892Z] GET https://static.crates.io/readmes/boon/boon-0.6.1.html → 200 (525ms, 7546B)
[2026-03-28T10:28:54.912Z] GET https://avatars.githubusercontent.com/u/1112271?v=4&s=64 → 200 (20ms, 1710B)
[2026-03-28T10:28:55.420Z] GET https://img.shields.io/badge/License-Apache%202.0-blue.svg → 200 (31ms, 1118B)
[2026-03-28T10:28:55.420Z] GET https://img.shields.io/crates/v/boon.svg → 200 (141ms, 1110B)
[2026-03-28T10:28:55.420Z] GET https://docs.rs/boon/badge.svg → 301 (63ms, ?B)
[2026-03-28T10:28:55.420Z] GET https://github.com/santhosh-tekuri/boon/actions/workflows/rust.yml/badge.svg?branch=main → 200 (239ms, 2263B)
[2026-03-28T10:28:55.420Z] GET https://codecov.io/gh/santhosh-tekuri/boon/branch/main/graph/badge.svg?token=A2YC4A0BLG → 200 (132ms, 2274B)
[2026-03-28T10:28:55.420Z] GET https://deps.rs/repo/github/Santhosh-tekuri/boon/status.svg?refresh → pending (?ms, ?B)
[2026-03-28T10:28:55.420Z] GET https://img.shields.io/endpoint?url=https://bowtie.report/badges/rust-boon/compliance/draft4.json → 200 (164ms, 1126B)
[2026-03-28T10:28:55.420Z] GET https://img.shields.io/endpoint?url=https://bowtie.report/badges/rust-boon/compliance/draft6.json → pending (?ms, ?B)
[2026-03-28T10:28:55.420Z] GET https://img.shields.io/endpoint?url=https://bowtie.report/badges/rust-boon/compliance/draft7.json → pending (?ms, ?B)
[2026-03-28T10:28:55.420Z] GET https://img.shields.io/endpoint?url=https://bowtie.report/badges/rust-boon/compliance/draft2019-09.json → pending (?ms, ?B)
[2026-03-28T10:28:55.420Z] GET https://img.shields.io/endpoint?url=https://bowtie.report/badges/rust-boon/compliance/draft2020-12.json → 200 (164ms, 1152B)
[2026-03-28T10:28:55.483Z] GET https://img.shields.io/docsrs/boon/latest → pending (?ms, ?B)
[2026-03-28T10:28:55.570Z] GET https://crates.io/api/v1/site_metadata → pending (?ms, ?B)
[2026-03-28T10:28:58.346Z] GET https://codecov.io/gh/santhosh-tekuri/boon/branch/main/graph/badge.svg?token=A2YC4A0BLG → 200 (131ms, 2274B)
[2026-03-28T10:29:03.745Z] GET https://codecov.io/gh/santhosh-tekuri/boon/branch/main/graph/badge.svg?token=A2YC4A0BLG → 200 (132ms, 2274B)
[2026-03-28T10:29:07.695Z] GET https://crates.io/crates/schemars → pending (?ms, ?B)
[2026-03-28T10:29:07.847Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:29:07.848Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:07.848Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:07.848Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (1ms, 4670B)
[2026-03-28T10:29:07.849Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:29:07.849Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:29:07.853Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:07.854Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:07.854Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:07.854Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:07.854Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:07.854Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (1ms, ?B)
[2026-03-28T10:29:07.890Z] GET https://crates.io/api/v1/crates/schemars?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (149ms, 3260B)
[2026-03-28T10:29:08.063Z] GET https://crates.io/api/v1/crates/schemars/owner_user → 200 (138ms, 173B)
[2026-03-28T10:29:08.064Z] GET https://crates.io/assets/cargo.png → 200 (?ms, 60046B)
[2026-03-28T10:29:08.064Z] GET https://crates.io/api/v1/crates/schemars/1.2.1/readme → 302 (137ms, ?B)
[2026-03-28T10:29:08.064Z] GET https://docs.rs/crate/schemars/1.2.1/status.json → 200 (165ms, 37B)
[2026-03-28T10:29:08.064Z] GET https://play.rust-lang.org/meta/crates → 200 (1ms, 27416B)
[2026-03-28T10:29:08.064Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, 199897B)
[2026-03-28T10:29:08.064Z] GET https://crates.io/api/v1/crates/schemars/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:08.064Z] GET https://crates.io/api/v1/crates/schemars/owner_team → 200 (147ms, 12B)
[2026-03-28T10:29:08.201Z] GET https://static.crates.io/readmes/schemars/schemars-1.2.1.html → 200 (25ms, 12993B)
[2026-03-28T10:29:08.213Z] GET https://avatars.githubusercontent.com/u/9611672?v=4&s=64 → 200 (28ms, 1454B)
[2026-03-28T10:29:08.241Z] GET https://img.shields.io/github/actions/workflow/status/GREsau/schemars/ci.yml?branch=master&logo=GitHub → 200 (296ms, 2292B)
[2026-03-28T10:29:08.241Z] GET https://img.shields.io/crates/v/schemars → 200 (158ms, 1110B)
[2026-03-28T10:29:08.241Z] GET https://img.shields.io/docsrs/schemars/latest?label=API%20docs → 200 (271ms, 1107B)
[2026-03-28T10:29:08.241Z] GET https://img.shields.io/badge/Usage%20docs-graham.cool%2Fschemars-blue → 200 (28ms, 1175B)
[2026-03-28T10:29:08.241Z] GET https://img.shields.io/badge/msrv-1.74-blue → 200 (113ms, 1079B)
[2026-03-28T10:29:08.893Z] GET https://crates.io/api/v1/site_metadata → 200 (151ms, 151B)
[2026-03-28T10:29:26.047Z] GET https://crates.io/crates/jsondiffpatch → 200 (154ms, 3472B)
[2026-03-28T10:29:26.206Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:29:26.206Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:26.206Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:26.206Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (1ms, 4670B)
[2026-03-28T10:29:26.207Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:29:26.207Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:29:26.212Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.213Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.213Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.213Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.213Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.213Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.249Z] GET https://crates.io/api/v1/crates/jsondiffpatch?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (153ms, ?B)
[2026-03-28T10:29:26.396Z] GET https://crates.io/crates/assert-json-diff → 200 (154ms, 3475B)
[2026-03-28T10:29:26.424Z] GET https://crates.io/api/v1/crates/jsondiffpatch/owner_user → pending (?ms, ?B)
[2026-03-28T10:29:26.424Z] GET https://crates.io/assets/cargo.png → 200 (?ms, ?B)
[2026-03-28T10:29:26.424Z] GET https://crates.io/api/v1/crates/jsondiffpatch/0.1.0/readme → pending (?ms, ?B)
[2026-03-28T10:29:26.424Z] GET https://docs.rs/crate/jsondiffpatch/0.1.0/status.json → pending (?ms, ?B)
[2026-03-28T10:29:26.425Z] GET https://play.rust-lang.org/meta/crates → 200 (52ms, ?B)
[2026-03-28T10:29:26.425Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, ?B)
[2026-03-28T10:29:26.425Z] GET https://crates.io/api/v1/crates/jsondiffpatch/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:26.425Z] GET https://crates.io/api/v1/crates/jsondiffpatch/owner_team → pending (?ms, ?B)
[2026-03-28T10:29:26.555Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:29:26.556Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:26.556Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:26.556Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:26.556Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:29:26.556Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (1ms, 7677B)
[2026-03-28T10:29:26.589Z] GET https://crates.io/api/v1/crates/assert-json-diff?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → pending (?ms, ?B)
[2026-03-28T10:29:26.590Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.590Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Italic.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.590Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.590Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.590Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (1ms, ?B)
[2026-03-28T10:29:26.591Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Bold.woff → 200 (?ms, ?B)
[2026-03-28T10:29:26.728Z] GET https://crates.io/crates/genson-rs → 200 (148ms, 3468B)
[2026-03-28T10:29:26.847Z] GET https://crates.io/api/v1/crates/assert-json-diff/owner_user → pending (?ms, ?B)
[2026-03-28T10:29:26.847Z] GET https://crates.io/assets/cargo.png → 200 (?ms, ?B)
[2026-03-28T10:29:26.848Z] GET https://crates.io/api/v1/crates/assert-json-diff/2.0.2/readme → pending (?ms, ?B)
[2026-03-28T10:29:26.848Z] GET https://docs.rs/crate/assert-json-diff/2.0.2/status.json → pending (?ms, ?B)
[2026-03-28T10:29:26.848Z] GET https://play.rust-lang.org/meta/crates → 200 (?ms, ?B)
[2026-03-28T10:29:26.848Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → 200 (?ms, ?B)
[2026-03-28T10:29:26.848Z] GET https://crates.io/api/v1/crates/assert-json-diff/downloads?include=versions → pending (?ms, ?B)
[2026-03-28T10:29:26.848Z] GET https://crates.io/api/v1/crates/assert-json-diff/owner_team → pending (?ms, ?B)
[2026-03-28T10:29:26.881Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (?ms, ?B)
[2026-03-28T10:29:26.881Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (?ms, 7379B)
[2026-03-28T10:29:26.881Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (?ms, 123620B)
[2026-03-28T10:29:26.881Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (?ms, 4670B)
[2026-03-28T10:29:26.881Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → 200 (?ms, 1474292B)
[2026-03-28T10:29:26.882Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (?ms, 7677B)
[2026-03-28T10:29:26.913Z] GET https://crates.io/api/v1/crates/genson-rs?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (153ms, ?B)
